name,prev_position,team,xP,xA,xG,xGI,A,G,GI,bonus,bps,minutes,total_points,prev_price,GW,current_price,current_position,current_team
Jack Hinshelwood,MID,Brighton,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Brighton
Jadon Sancho,MID,Man Utd,3.0,0.05,0.0,0.05,0,0,0,0,4,22,1,70,1,65.0,MID,Man Utd
Vitaly Janelt,MID,Brentford,2.1,0.01,0.02,0.03,0,0,0,0,6,90,2,55,1,50.0,MID,Brentford
Jack Grealish,MID,Man City,4.1,0.0,0.0,0.0,0,0,0,0,0,0,0,75,1,65.0,MID,Man City
Emil Krafth,DEF,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Newcastle
Boubacar Traoré,MID,Wolves,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Wolves
Curtis Jones,MID,Liverpool,2.1,0.01,0.0,0.01,0,0,0,0,1,24,1,50,1,55.0,MID,Liverpool
Reece James,DEF,Chelsea,2.1,0.42,0.03,0.45,0,0,0,0,15,75,2,55,1,50.0,DEF,Chelsea
Brandon Austin,GK,Spurs,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Spurs
Robin Olsen,GK,Aston Villa,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,45.0,GK,Aston Villa
Amad Diallo,MID,Man Utd,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Man Utd
Anthony Elanga,MID,Nott'm Forest,1.1,0.61,0.0,0.61,1,0,1,0,17,10,4,50,1,55.0,MID,Nott'm Forest
Harry Toffolo,DEF,Nott'm Forest,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Nott'm Forest
Bernardo Veiga de Carvalho e Silva,MID,Man City,3.8,0.03,0.0,0.03,0,0,0,0,11,90,3,65,1,65.0,MID,Man City
Ivan Toney,FWD,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,80,1,75.0,FWD,Brentford
Alex Murphy,DEF,Newcastle,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,DEF,Newcastle
Eddie Nketiah,FWD,Arsenal,2.4,0.01,0.21,0.22,0,1,1,2,26,72,8,55,1,60.0,FWD,Arsenal
Benoît Badiashile,DEF,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Chelsea
Emile Smith Rowe,MID,Arsenal,2.6,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,MID,Fulham
Jarell Quansah,DEF,Liverpool,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,45.0,DEF,Liverpool
Ben Chilwell,DEF,Chelsea,2.1,0.23,0.11,0.34,1,0,1,2,24,89,7,55,1,50.0,DEF,Chelsea
Tim Iroegbunam,MID,Aston Villa,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Everton
Pablo Sarabia,MID,Wolves,1.1,0.3,0.06,0.36,0,0,0,0,6,62,3,50,1,55.0,MID,Wolves
Remi Matthews,GK,Crystal Palace,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Crystal Palace
Ibrahima Konaté,DEF,Liverpool,2.8,0.0,0.0,0.0,0,0,0,0,14,90,2,50,1,50.0,DEF,Liverpool
Joelinton Cássio Apolinário de Lira,MID,Newcastle,2.7,0.16,0.12,0.28,0,0,0,0,13,90,2,60,1,60.0,MID,Newcastle
Marcus Tavernier,MID,Bournemouth,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,MID,Bournemouth
Manuel Akanji,DEF,Man City,3.8,0.01,0.0,0.01,0,0,0,0,23,90,6,50,1,55.0,DEF,Man City
Matheus França de Oliveira,MID,Crystal Palace,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,45.0,MID,Crystal Palace
Lucas Tolentino Coelho de Lima,MID,West Ham,2.2,0.21,0.18,0.39,0,0,0,0,11,90,1,60,1,60.0,MID,West Ham
Rasmus Højlund,FWD,Man Utd,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,70,1,70.0,FWD,Man Utd
Rayan Aït-Nouri,DEF,Wolves,1.5,0.01,0.0,0.01,0,0,0,0,9,76,1,45,1,45.0,DEF,Wolves
Ben Davies,DEF,Spurs,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Spurs
Emerson Palmieri dos Santos,DEF,West Ham,2.0,0.25,0.0,0.25,0,0,0,0,8,90,1,45,1,45.0,DEF,West Ham
Luis Díaz,MID,Liverpool,3.1,0.04,0.83,0.87,0,1,1,1,20,76,8,75,1,75.0,MID,Liverpool
Jakub Moder,MID,Brighton,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Brighton
John Stones,DEF,Man City,4.1,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,DEF,Man City
Idrissa Gueye,MID,Everton,1.6,0.03,0.06,0.09,0,0,0,0,15,90,2,50,1,50.0,MID,Everton
Harry Wilson,MID,Fulham,2.1,0.2,0.07,0.27,0,0,0,0,13,90,3,55,1,55.0,MID,Fulham
Marcus Bettinelli,GK,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Chelsea
Malcolm Ebiowei,MID,Crystal Palace,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Crystal Palace
Benjamin White,DEF,Arsenal,3.1,0.03,0.0,0.03,0,0,0,0,8,90,1,55,1,65.0,DEF,Arsenal
Ezri Konsa Ngoyo,DEF,Aston Villa,1.5,0.01,0.0,0.01,0,0,0,0,16,90,0,45,1,45.0,DEF,Aston Villa
Thomas Partey,MID,Arsenal,2.1,0.06,0.0,0.06,0,0,0,0,18,90,2,50,1,50.0,MID,Arsenal
Jamal Lewis,DEF,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,DEF,Newcastle
Leon Bailey,MID,Aston Villa,1.6,0.01,0.0,0.01,0,0,0,0,-1,45,1,55,1,65.0,MID,Aston Villa
Luke Shaw,DEF,Man Utd,3.1,0.04,0.0,0.04,0,0,0,0,25,90,5,55,1,50.0,DEF,Man Utd
Mario Lemina,MID,Wolves,1.1,0.01,0.1,0.11,0,0,0,0,11,90,1,50,1,50.0,MID,Wolves
James Tarkowski,DEF,Everton,2.0,0.03,0.04,0.07,0,0,0,0,8,90,2,45,1,50.0,DEF,Everton
Kristoffer Ajer,DEF,Brentford,2.0,0.01,0.0,0.01,0,0,0,0,7,83,1,45,1,45.0,DEF,Brentford
Brennan Johnson,MID,Nott'm Forest,1.7,0.0,0.28,0.28,0,0,0,0,0,79,2,60,1,65.0,MID,Spurs
Jake O'Brien,DEF,Crystal Palace,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,50.0,DEF,Everton
Ryan Sessegnon,DEF,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Fulham
Justin Kluivert,MID,Bournemouth,1.6,0.01,0.0,0.01,0,0,0,0,2,30,1,50,1,55.0,MID,Bournemouth
Viljami Sinisalo,GK,Aston Villa,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Aston Villa
Pierre-Emile Højbjerg,MID,Spurs,2.1,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,50.0,MID,Spurs
Lesley Ugochukwu,MID,Chelsea,0.5,0.0,0.0,0.0,0,0,0,0,4,1,1,45,1,45.0,MID,Chelsea
Callum Hudson-Odoi,MID,Chelsea,1.1,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,55.0,MID,Nott'm Forest
